51,79,Wii,2010.0,Misc,Nintendo,1.75,3.47,2.49,68.0,42.0,7.4,54.0,E
52,80,Wii,2007.0,Misc,Nintendo,3.74,2.24,1.58,62.0,41.0,6.3,190.0,E
53,81,PS3,2012.0,Action,Electronic Arts,1.06,5.01,0.13,88.0,37.0,6.6,348.0,E
54,84,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,92.0,53.0,8.7,1056.0,T
55,88,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,90.0,24.0,8.6,644.0,T
56,90,DS,2008.0,Role-Playing,Nintendo,2.76,1.72,2.69,83.0,46.0,8.5,203.0,E
57,91,PSP,2005.0,Action,Take-Two Interactive,2.9,2.81,0.24,88.0,65.0,7.6,451.0,M
58,92,PS4,2014.0,Shooter,Activision,2.81,3.48,0.14,83.0,39.0,5.7,1443.0,M
59,97,Wii,2010.0,Platform,Nintendo,3.56,2.35,0.98,97.0,87.0,9.1,1854.0,E
60,100,X360,2008.0,Shooter,Activision,4.81,1.88,0.0,84.0,84.0,7.6,580.0,M
61,101,X360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,84.0,57.0,7.4,2142.0,M
62,102,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,85.0,33.0,8.6,171.0,E
63,103,Wii,2009.0,Misc,Ubisoft,3.48,2.99,0.0,49.0,21.0,8.0,110.0,E10+
64,104,PS3,2011.0,Shooter,Electronic Arts,2.85,2.89,0.35,85.0,38.0,7.5,1761.0,M
65,105,PS4,2015.0,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,87.0,58.0,6.5,4228.0,M
66,106,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,96.0,15.0,9.1,367.0,T
67,107,Wii,2006.0,Action,Nintendo,3.74,2.14,0.6,95.0,73.0,9.0,1658.0,T
68,109,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,91.0,12.0,8.9,432.0,E
69,110,WiiU,2014.0,Racing,Nintendo,3.15,2.15,1.28,88.0,82.0,9.1,1599.0,E
70,111,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,92.0,38.0,9.1,568.0,T
71,113,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,82.0,39.0,8.6,132.0,E
72,114,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,88.0,29.0,8.5,135.0,T
73,116,Wii,2012.0,Misc,Ubisoft,4.05,2.16,0.0,74.0,10.0,7.3,28.0,E10+
74,117,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.9,0.06,93.0,90.0,7.7,2739.0,M
75,118,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.75,0.19,92.0,97.0,8.3,3712.0,T
76,120,PS3,2007.0,Shooter,Activision,3.11,2.26,0.28,94.0,44.0,8.4,993.0,M
77,121,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.2,0.21,96.0,105.0,8.8,5187.0,T
78,123,DS,2005.0,Misc,Nintendo,1.66,2.75,1.6,74.0,45.0,7.4,27.0,E
79,125,PS3,2010.0,Action,Take-Two Interactive,2.79,2.53,0.17,95.0,73.0,8.8,2456.0,M
80,127,PS3,2012.0,Action,Ubisoft,2.64,2.52,0.16,85.0,41.0,6.9,1307.0,M
